Restaurant ID,Restaurant Name,Country Code,City,Address,Locality,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Price range,Aggregate rating,Votes,Cost Category,Primary Cuisine,Normalized Rating
6317637,Le Petit Souffle,162,makati city,"Third Floor, Century City Mall, Kalayaan Avenue, Poblacion, Makati City","century city mall, poblacion, makati city","french, japanese, desserts",1100,Botswana Pula(P),Yes,No,3,4.8,314,high,french,4.9183673469387745
6304287,Izakaya Kikufuji,162,makati city,"Little Tokyo, 2277 Chino Roces Avenue, Legaspi Village, Makati City","little tokyo, legaspi village, makati city",japanese,1200,Botswana Pula(P),Yes,No,3,4.5,591,high,japanese,4.673469387755102
6300002,Heat - Edsa Shangri-La,162,mandaluyong city,"Edsa Shangri-La, 1 Garden Way, Ortigas, Mandaluyong City","edsa shangri-la, ortigas, mandaluyong city","seafood, asian, filipino, indian",4000,Botswana Pula(P),Yes,No,4,4.4,270,high,seafood,4.591836734693878
6318506,Ooma,162,mandaluyong city,"Third Floor, Mega Fashion Hall, SM Megamall, Ortigas, Mandaluyong City","sm megamall, ortigas, mandaluyong city","japanese, sushi",1500,Botswana Pula(P),No,No,4,4.9,365,high,japanese,5.0
6314302,Sambo Kojin,162,mandaluyong city,"Third Floor, Mega Atrium, SM Megamall, Ortigas, Mandaluyong City","sm megamall, ortigas, mandaluyong city","japanese, korean",1500,Botswana Pula(P),Yes,No,4,4.8,229,high,japanese,4.9183673469387745
18189371,Din Tai Fung,162,mandaluyong city,"Ground Floor, Mega Fashion Hall, SM Megamall, Ortigas, Mandaluyong City","sm megamall, ortigas, mandaluyong city",chinese,1000,Botswana Pula(P),No,No,3,4.4,336,high,chinese,4.591836734693878
6300781,Buffet 101,162,pasay city,"Building K, SM By The Bay, Sunset Boulevard, Mall of Asia Complex (MOA), Pasay City","sm by the bay, mall of asia complex, pasay city","asian, european",2000,Botswana Pula(P),Yes,No,4,4.0,520,high,asian,4.26530612244898
6301290,Vikings,162,pasay city,"Building B, By The Bay, Seaside Boulevard, Mall of Asia Complex (MOA), Pasay City","sm by the bay, mall of asia complex, pasay city","seafood, filipino, asian, european",2000,Botswana Pula(P),Yes,No,4,4.2,677,high,seafood,4.428571428571429
6300010,Spiral - Sofitel Philippine Plaza Manila,162,pasay city,"Plaza Level, Sofitel Philippine Plaza Manila, CCP Complex, Pasay City","sofitel philippine plaza manila, pasay city","european, asian, indian",6000,Botswana Pula(P),Yes,No,4,4.9,621,high,european,5.0
6314987,Locavore,162,pasig city,"Brixton Technology Center, 10 Brixton Street, Kapitolyo, Pasig City",kapitolyo,filipino,1100,Botswana Pula(P),Yes,No,3,4.8,532,high,filipino,4.9183673469387745
6309903,Silantro Fil-Mex,162,pasig city,"75 East Capitol Drive, Kapitolyo, Pasig City",kapitolyo,"filipino, mexican",800,Botswana Pula(P),No,No,3,4.9,1070,high,filipino,5.0
6309455,Mad Mark's Creamery & Good Eats,162,pasig city,"23 East Capitol Drive, Kapitolyo, Pasig City",kapitolyo,"american, ice cream, desserts",900,Botswana Pula(P),Yes,No,3,4.2,488,high,american,4.428571428571429
6318433,Silantro Fil-Mex,162,quezon city,"Second Floor, UP Town Center, Katipunan Avenue, Diliman, Quezon City","up town center, diliman, quezon city","filipino, mexican",800,Botswana Pula(P),No,No,3,4.8,294,high,filipino,4.9183673469387745
6310470,Guevarra's,162,san juan city,"387 P. Guevarra Corner Argonne Street, Addition Hills, San Juan City",addition hills,filipino,1000,Botswana Pula(P),Yes,No,3,4.2,458,high,filipino,4.428571428571429
6314605,Sodam Korean Restaurant,162,san juan city,"17 J. Abad Santos Drive, Little Baguio, San Juan City",little baguio,korean,700,Botswana Pula(P),No,No,3,4.3,223,high,korean,4.5102040816326525
18185059,Cafe Arabelle,162,santa rosa,"Ayala Mall, Solenad, Nuvali, Santa Rosa - Tagaytay Road, Don Jose, Santa Rosa","nuvali, don jose, santa rosa","cafe, american, italian, filipino",800,Botswana Pula(P),No,No,3,3.6,29,high,cafe,3.9387755102040813
18182702,Nonna's Pasta & Pizzeria,162,santa rosa,"Ground Floor, Building G, Solenad 3, Nuvali, Don Jose, Santa Rosa","solenad 3, don jose, santa rosa","italian, pizza",850,Botswana Pula(P),No,No,3,4.0,72,high,italian,4.26530612244898
6318213,Balay Dako,162,tagaytay city,"Aguinaldo Highway, Tagaytay City",tagaytay city,filipino,1200,Botswana Pula(P),Yes,No,3,4.5,211,high,filipino,4.673469387755102
18255654,Hobing Korean Dessert Cafe,162,taguig city,"Third Floor, BGC Stopover Pavillion, Rizal Drive Corner 31st Street, Bonifacio Global City, Taguig City","bgc stopover pavillion, bonifacio global city","cafe, korean, desserts",600,Botswana Pula(P),No,No,2,4.5,118,medium,cafe,4.673469387755102
6308205,Wildflour Cafe + Bakery,162,taguig city,"Ground Floor, Netlima Building, 4th Avenue Corner 26th Street, Bonifacio Global City, Taguig City",bonifacio global city,"cafe, bakery, american, italian",1500,Botswana Pula(P),Yes,No,4,4.4,392,high,cafe,4.591836734693878
6315438,NIU by Vikings,162,taguig city,"Sixth Floor, SM Aura Premier, C5 Road Corner 26th Street, Bonifacio Global City, Taguig City","sm aura premier, bonifacio global city, taguig city","seafood, american, mediterranean, japanese",3000,Botswana Pula(P),Yes,No,4,4.7,535,high,seafood,4.836734693877551
6310406,The Food Hall by Todd English,162,taguig city,"Fifth Floor, SM Aura Premier, C5 Corner 26th Street, Bonifacio Global City, Taguig City","sm aura premier, bonifacio global city, taguig city","american, asian, italian, seafood",1800,Botswana Pula(P),Yes,No,4,4.5,618,high,american,4.673469387755102
6600681,Chez Michou,30,brasí_lia,"SCLN, 208, Bloco A, Loja 30, Asa Norte, Brasí_lia",asa norte,"fast food, french",55,Brazilian Real(R$),No,No,2,3.0,6,low,fast food,3.4489795918367343
6601005,Cafí© Daniel Briand,30,brasí_lia,"SCLN 104, Bloco A, Loja 26, Asa Norte, Brasí_lia",asa norte,cafe,30,Brazilian Real(R$),No,No,1,3.8,9,low,cafe,4.1020408163265305
6600292,Casa do Biscoito Mineiro,30,brasí_lia,"SCLN 210, Bloco D, Loja 36/48, Asa Norte, Brasí_lia",asa norte,bakery,45,Brazilian Real(R$),No,No,2,3.7,11,low,bakery,4.020408163265306
6600441,Maori,30,brasí_lia,"CLN 110, Bloco D, Loja 28, Asa Norte, Brasí_lia",asa norte,brazilian,60,Brazilian Real(R$),No,No,3,3.8,11,low,brazilian,4.1020408163265305
6600970,Pizza íæ Bessa,30,brasí_lia,"SCS 214, Bloco C, Loja 40, Asa Sul, Brasí_lia",asa sul,pizza,50,Brazilian Real(R$),No,No,2,3.2,11,low,pizza,3.6122448979591835
6600379,Sushi Loko,30,brasí_lia,"SCS 213, Bloco C, Loja 35, Asa Sul, Brasí_lia",asa sul,japanese,80,Brazilian Real(R$),No,No,3,3.1,10,low,japanese,3.530612244897959
6600214,Beirute,30,brasí_lia,"CLS 109, Bloco A, Loja 2/6, Asa Sul, Brasí_lia",asa sul,arabian,90,Brazilian Real(R$),No,No,3,3.7,8,low,arabian,4.020408163265306
6601218,New Koto,30,brasí_lia,"SCS 212, Bloco B, Loja 26, Asa Sul, Brasí_lia",asa sul,japanese,200,Brazilian Real(R$),No,No,4,3.7,5,low,japanese,4.020408163265306
6600060,Sandubas Cafí©,30,brasí_lia,"Edifí_cio Josí© Severo, SCS 6, Bloco A, Loja 99, Asa Sul, Brasí_lia",asa sul,"brazilian, cafe",30,Brazilian Real(R$),No,No,1,0.0,2,low,brazilian,1.0
6600083,Villa Tevere,30,brasí_lia,"CLS 115, Bloco A, Loja 2, Asa Sul, Brasí_lia",asa sul,italian,150,Brazilian Real(R$),No,No,4,4.1,12,low,italian,4.346938775510203
6601515,Rovereto,30,brasí_lia,"Rua 13 Norte, Lote 4, íguas Claras, Brasí_lia",íguas claras,pizza,100,Brazilian Real(R$),No,No,4,3.1,9,low,pizza,3.530612244897959
6601361,Buena Carne,30,brasí_lia,"Avenida Araucíçrias, 1325, Loja 19, íguas Claras, Brasí_lia",íguas claras,"bar food, brazilian",60,Brazilian Real(R$),No,No,3,3.6,9,low,bar food,3.9387755102040813
